"522318702155665408","Our lovely new work experience just cringed when I described my job description to them #YOLO","catrionaw890","0","0","1014"
"522318656965861376","RT @MARIAFRESHAF: 3rd week in college and already got written up #yolo","michelleowns","3","0","205"
"522318318695223296","@Trollie723 WTF that hastag just like showed up when I typed #YOLO so #YOLO","Trollie723","0","1","181"
"522318093159501825","you only live once #YOLO","ElineRens1","0","0","18"
"522317975731204096","RT @MARIAFRESHAF: 3rd week in college and already got written up #yolo","Coke_aCole","3","0","202"
"522317954558746624","@LucieKate1996 @Fiona_Spencer @DannySully584 might join everyone and shit ont the dance floor #yolo #crazymofos","SameerSkhan0150","0","0","85"
"522317903358468096","RT @MARIAFRESHAF: 3rd week in college and already got written up #yolo","almightyangel__","3","0","191"
"522317878435934208","RT @forheojun: 141015: MADTOWN at Show Champion ^^ #MADTOWN #YOLO #매드타운 http://t.co/OzbtEruHqW","Dynamite_L","2","0","11"
"522317747712458752","RT @IGN: Rainbow Six Siege. Literally #YOLO. http://t.co/bMcAM6sHgS http://t.co/eGCn2ZvnMS","9chuckeles9","239","0","42"
"522317692754489344","RT @Dukey_bby: Me and Mike just put laxatives in the kids dinner #Banter #Yolo #Duked 😂😂","niaamhpardoe","51","0","408"
"522317685057523714","3rd week in college and already got written up #yolo","MARIAFRESHAF","3","4","190"
"522317555382243328","RT @itz_anNy: Should I do a cover of #VIXX's new song #ERROR or #MADTOWN's #YOLO? Or both? XDD","oso9941","7","0","6"
"522317529927401472","There is no place like this..Baler June 2k14.🏊🏊🏄🏄#kanvas #yolo #travel http://t.co/xs0Y4MPjlk","ImAFL","0","0","220"
"522317231741763584","pot noodle for breakfast? #yolo #holo","hollybanksxx","0","0","505"
"522317107619717120","Year 12 yay -.-   #Not #represent #year #twelve #officially #a #twelvie #yolo #sass #time #swag #and… http://t.co/87CQBxxcMK","Macdaddy24714","0","1","110"
"522317090104303617","haters gonna hate. #haterspratersmotivators #yolo #hasselt #dusart #smart #notsosmart http://t.co/HE6XEQzbgb","BartBroux","0","0","29"
"522316446773575681","You only live once but if you do it right, once is enough. #YOLO","dindimaraos","0","1","131"
"522316418197782529","RT @IGN: Rainbow Six Siege. Literally #YOLO. http://t.co/bMcAM6sHgS http://t.co/eGCn2ZvnMS","LEEWAYNUMBER1","239","0","26"
"522316173661442048","Starting the day with this cataclysmic low point. I'm throwimg my life away. #YOLO #REKT #stillbetterthanbarginhunt http://t.co/ofR14xfwD2","metalkittysda68","0","0","283"
"522316127620177921","RT @NBCTheVoice: Do not adjust the sound on your TV. This battle went where sound couldn’t! #BattlesBegin #Yolo","Cassie_Eckart","102","0","187"
"522315052150702080","Chirp #Twitter #YOLO #WYSIWYG #NIMBY","BrianJinnett","0","0","6"
"522315043531403264","Single bitches!!! Whoa! Going to da club!! #yolo","Shokoni_SBack","0","0","11"
"522314630387867648","I am just trying to find some color in this black and white world ☺←
#Yolo ♥ http://t.co/rlPb9wPlaG","YongSelan","0","0","4"
"522314560687341568","RT @_Simplykpop: &lt;141010 Simply K-Pop&gt; MAD TOWN - YOLO 
#심플리케이팝 #매드타운 #YOLO http://t.co/slivgVsgN1","Laura_InFrance","157","0","311"
"522314515564990464","Happiness is always a matter of choice.
#YOLO http://t.co/mWUEdBbvcv","bryllefroquero","0","0","20"
"522313816173187072","So its #yolo while im waiting for the reaper call","Belo_SPMG","0","0","30"
"522313362202693632","RT @portiaderossi: Well, it's official. I'm on Twitter. I can't say I know what's going to happen next, but I made it this far. #YOLO","HeyacheleRiot","1360","0","2914"
"522313328685633536","RT @IGN: Rainbow Six Siege. Literally #YOLO. http://t.co/bMcAM6sHgS http://t.co/eGCn2ZvnMS","THversion1","239","0","208"
"522313220074512384","Been up since 2pm and hittin the gym at 6 #yolo","rphilbrick_","0","0","427"
"522313005405462529","The one who walks alone... #YOLO http://t.co/qjrqUecpm2 via @9GAG
too fucking funny!","Jani_Rose88","0","0","45"
"522312713545199616","@mrbellek http://t.co/LZg0VzmBGz X-posted for EFFECT! #yolo ♥","rosamiata","0","0","133"
"522312677134450688","Awkward moment w/ @zakie_takupaz 😰 ✌#bestfriend #yolo #hijab #girl #boy #yellow #coupleoftheday… http://t.co/gIIBBo7CXE","bontoott","0","0","421"
"522312630367571969","Status: mice are at their best as the cat is away! \m/ XD
#YOLO","alpha_hotel_","0","1","91"
"522312593130938368","Get 15 min for free sign up now! &gt;&gt; http://t.co/0Aj72qGfG8 #oomfm #yolo #subtweet #justinbieber #ff #np #fb #avi #ctb #tcot #uk #usa #eg #ca","SahelTalk","0","0","2869"
"522312350485856256","Naaaah ill just do it tomorrow 😂✌️ #yolo","Yayitsnunu","0","0","214"
"522312043911585792","love how angus just took pics of the bio test while doing it like no fucks given #yolo","takki_sandhu","0","0","96"
"522311974869561344","RT @stinecaru: Forever choosing extra sleep &gt; a shower #yolo","Tu_me_rends_fou","1","0","127"
"522311825028030464","Good morning @Luke5SOS how are ya??
I'm hope u are fine. I know u will never notice me so #yolo. Love u and the rest of 5sos♡","LauraKraftlaura","0","2","409"
"522311789099233281","when we started to get bored....
we always end up with these #sisters #collage  #love #yolo http://t.co/02qMDj6H9n","7d49071f52974c3","0","0","0"
"522311609704660992","@ireneephaan @__jennytran @sharonphung I'm still sticking with the theory that he left tutz because of us 😂 #yolo #noregrats","gelazbabez","0","1","251"
"522311348261507073","Edm life 13 (#edm #producerlife #bAnE #plur #electronicmusic #producer #dj #deejay #yolo #progressivehouse... http://t.co/TxUnSk1pMg","bAnE05","0","0","345"
"522311342888210432","Edm life 13 (#edm #producerlife #bAnE #plur #electronicmusic #producer #dj #deejay #yolo… http://t.co/WWxP3raICO","bAnE05","0","1","345"
"522311335535595520","Finally, drinks at the James Squire pub! #yolo  #swag #yaywednesday @ James Squire - the Charming Squire http://t.co/WkkbvnAI5H","dayleparker","0","0","241"
"522310995100725248","SAY #YOLO ONE MORE GODDAMN TIME. Today""s #chicago #forecast: Chance of Rain. 56/53. 40% precip.","sljweather","0","0","25"
"522310403280220160","RT @madtownfanc_: [Preview] 141015 Jota  @ ShowChampion #대원 #MADTOWN #매드타운 #YOLO
(cr @.19940215_com ) http://t.co/PsJDyKPaWl","nwneennin","2","0","336"
"522310358770270208","I can't believe I sung in public 😂😂😂 #yolo","leepatriciaj","0","0","320"
"522310286418522114","RT @IGN: Rainbow Six Siege. Literally #YOLO. http://t.co/bMcAM6sHgS http://t.co/eGCn2ZvnMS","Shadowfire007","239","0","315"
"522309764051525633","RT @JasonDChen: Should I do it? #yolo #foodiefitnessig #workout2eat #countingmacros http://t.co/NB2CnVxgLi","lavalhuang","4","0","37"
"522309683298594816","I'm bored #YOLO","abi_nicoole03","0","0","11"
"522308989946585088","RT @madtownfanc_: [Preview] 141015 Jota  @ ShowChampion #대원 #MADTOWN #매드타운 #YOLO
(cr @.19940215_com ) http://t.co/PsJDyKPaWl","immmmknry","2","0","480"
"522308982510063616","RT @madtownfanc_: [Preview] 141015 LeeGeon   @ ShowChampion #대원 #MADTOWN #매드타운 #YOLO (cr @.19920504com ) http://t.co/LLyCsym4nU","immmmknry","3","0","480"
"522308893750210561","RT @madtownfanc_: [Preview] 141015 MADTOWN ShowChampion #YOLO #MADTOWN 
(Cr 940215sz)

http://t.co/Dz4xyw6115”","immmmknry","3","0","480"
"522308882396246017","RT @madtownfanc_: [Preview] 141015 MADTOWN ShowChampion #YOLO #MADTOWN 
(Cr @songjaehocom )

 http://t.co/67GOr5sPrM”","immmmknry","4","0","480"
"522308481697591296","I'd probably still hit tho ::tiffshrug:: #YOLO! http://t.co/QxYxYTOA8I","scoobster621","0","1","25"
"522307652186275840","I installed a sticker pack on Facebook just so I could send a picture of @DisneyPixar's Dug to @rosamiata #yolo","mrbellek","0","0","577"
"522307607311446016","When I saw the headline 'Flanagan wins Booker Prize' I was very disappointed to see it wasn't @helenflanagan1 #YOLO","ricardoyorks","0","0","424"
"522307582502117376","@DeanRomo or some shit, I'm really tired and am feeling philosophical #YOLO","J_isforJaszy","0","0","220"
"522307550088163328","RT @IGN: Rainbow Six Siege. Literally #YOLO. http://t.co/bMcAM6sHgS http://t.co/eGCn2ZvnMS","AdriyanF__","239","0","315"
"522306969303285760","Got an A- in English #YOLO","LittleChambo_13","0","0","168"
"522306968430850049","When life throws you lemons pour some salt on your hand and take a shot. #fuckit #YOLO","chuffman6","0","0","305"
"522306840265510912","Random #yolo #comedy #selfie #epic #stuff #idk #LOL #everything #awesome #funny #cool #weird #omg https://t.co/IgCYGwZLTT","bendabus","0","1","0"
"522306830962532352","RT @IGN: Rainbow Six Siege. Literally #YOLO. http://t.co/bMcAM6sHgS http://t.co/eGCn2ZvnMS","Dannybee04","239","0","6"
"522306580206067712","RT @IGN: Rainbow Six Siege. Literally #YOLO. http://t.co/bMcAM6sHgS http://t.co/eGCn2ZvnMS","Damien165","239","0","53"
"522306396248092673","Ma worst line was #yolo and i can feel it comin back #notcool","LG_58st","0","0","180"
