nigga	522169157518114818	522131366603812865	522189823042678784	
mom	522099026934513664	522127727147909121	522177655529934848	
app	522112535513034753	522112529611644928	522175130965782528	
yolo	522217008071737344	522218477701320704	522115811302187008	
fuck	522225225111724032	521812626763161600	521841081546440705	
bro	522078003871092736	522077953086464000	522139485786877952	
burger	521820064295952384	521820194638139392	521820130209431552	
shit	522187887673376768	522188524603600896	522188030359388161	
21st	522322350822682624	522201520251891713	522323234436677632	
yay	522196773889376256	522161769914302464	522217741584187392	
3rd	522317685057523714	522186718783369216	522317903358468096	
cuz	521823639159975936	521823855522762752	521824797244682240	
lol	522125545556148224	522278227381743616	522184053236432896	
online	522214116379738112	522238829026357252	522259857190047744	
ebola	522127727147909121	522321199943389184	522177655529934848	
goin	522223607448338432	522202822709092352	522076375034114048	
selfie	521963898040483840	521979157614710784	521847561854787584	
disney	522212633056145408	521823024870588416	522264009098395648	
ipad	522044554124722177	522199696954363904	522047357404594176	
usa	522227418720120832	522231384266391553	522053753848201216	
okay	522278205584318464	522298177958203392	522225290584809473	
haha	522096233901731840	522113643971096577	522107248437239808	
paid	522154613131464706	521827729491365888	522151342773911552	
dat	521955613254111232	522048802354913280	521894331041726464	
mama	522136681160273920	521905060746637313	522324912325664768	
wtf	521834476243279872	522318318695223296	521824474589843456	
badass	522200157660536832	522200199541047297	522256358783987712	
vs.	522120655706542080	522155945259196416	522197416335147008	
women	522044959340650497	521972273780363264	521990587877453825	
info	522011573335105537	522012436631916545	521998727217942528	
kno	522209101351501824	522209481120546816	522209237448261632	
lmao	522169157518114818	522246448352886784	522060693953343488	
turnt	522067434300137472	522065080230633473	522274109410258944	
hahaha	521958357268041729	521954075056041984	521958423265415169	
fuckin	521910384056614913	521910484174254080	522085283546664960	
